INPUT_TABLE
Variable ID
RenewRsrcCurves

region,renewresource,sub.renewable.resource,grade,available,extractioncost
Middle East,Arabian Sea Coast-water withdrawals,runoff,grade12,0.665607896971656,0.587467069409699
Middle East,Arabian Sea Coast-water withdrawals,runoff,grade13,0.707406909850199,1.26787182724597
Middle East,Arabian Sea Coast-water withdrawals,runoff,grade14,0.749205922728742,2.15984928673338
Middle East,Arabian Sea Coast-water withdrawals,runoff,grade15,0.791004935607285,3.22849336254457
Middle East,Arabian Sea Coast-water withdrawals,runoff,grade16,0.832803948485828,4.4388979693522
Middle East,Arabian Sea Coast-water withdrawals,runoff,grade17,0.874602961364371,5.75615702182891
Middle East,Arabian Sea Coast-water withdrawals,runoff,grade18,0.916401974242914,7.14536443464735
Middle East,Arabian Sea Coast-water withdrawals,runoff,grade19,0.958200987121457,8.57161412248016
Middle East,Arabian Sea Coast-water withdrawals,runoff,grade20,1,10
EU-15,Arctic Ocean Islands-water withdrawals,runoff,grade1,0,1e-05
EU-15,Arctic Ocean Islands-water withdrawals,runoff,grade2,0.0537777777777778,1.1358024691358e-05
EU-15,Arctic Ocean Islands-water withdrawals,runoff,grade3,0.107555555555556,2.08641975308642e-05
EU-15,Arctic Ocean Islands-water withdrawals,runoff,grade4,0.161333333333333,4.66666666666667e-05
EU-15,Arctic Ocean Islands-water withdrawals,runoff,grade5,0.215111111111111,9.69135802469136e-05
EU-15,Arctic Ocean Islands-water withdrawals,runoff,grade6,0.268888888888889,0.000179753086419753
EU-15,Arctic Ocean Islands-water withdrawals,runoff,grade7,0.322666666666667,0.000303333333333333
